postcode,latitude,longitude,suburb
2000,-33.8688,151.2093,Sydney
2001,-33.8688,151.2093,Sydney
2010,-33.8975,151.2017,Surry Hills
2011,-33.8975,151.2017,Surry Hills
2150,-33.8138,151.0087,Parramatta
2020,-33.9106,151.2508,Randwick
2037,-33.8751,151.1884,Glebe
2042,-33.8958,151.1776,Newtown
2096,-33.7675,151.2800,Freshwater
2200,-33.9312,151.0384,Bankstown
2217,-33.9674,151.1374,Kogarah
2250,-33.4237,151.2960,Kariong
2400,-29.4665,149.8423,Moree
2450,-30.3302,153.1027,Coffs Harbour
2505,-34.4893,150.9135,Port Kembla
2650,-35.1301,147.3442,Wagga Wagga
2765,-33.6457,150.8990,Box Hill
2770,-33.7693,150.8299,Mount Druitt
